id,rank,title_en,year,rating,persons
tt0107290,144,Jurassic Park,(1993),"8.2 based on 1,011,441 user ratings","Steven Spielberg (dir.), Sam Neill, Laura Dern"
tt0268978,145,A Beautiful Mind,(2001),"8.2 based on 948,494 user ratings","Ron Howard (dir.), Russell Crowe, Ed Harris"
tt0055630,146,Yojimbo,(1961),"8.1 based on 125,596 user ratings","Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
tt0040897,147,The Treasure of the Sierra Madre,(1948),"8.1 based on 127,678 user ratings","John Huston (dir.), Humphrey Bogart, Walter Huston"
tt0071853,148,Monty Python and the Holy Grail,(1975),"8.1 based on 550,794 user ratings","Terry Gilliam (dir.), Graham Chapman, John Cleese"
tt0477348,149,No Country for Old Men,(2007),"8.1 based on 998,701 user ratings","Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
tt0266697,150,Kill Bill: Vol. 1,(2003),"8.1 based on 1,138,161 user ratings","Quentin Tarantino (dir.), Uma Thurman, David Carradine"
tt0057115,151,The Great Escape,(1963),"8.1 based on 249,041 user ratings","John Sturges (dir.), Steve McQueen, James Garner"
tt0042876,152,Rashomon,(1950),"8.1 based on 172,341 user ratings","Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
tt0084787,153,The Thing,(1982),"8.1 based on 437,313 user ratings","John Carpenter (dir.), Kurt Russell, Wilford Brimley"
tt0266543,154,Finding Nemo,(2003),"8.1 based on 1,064,005 user ratings","Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
tt10872600,155,Spider-Man: No Way Home,(2021),"8.1 based on 791,733 user ratings","Jon Watts (dir.), Tom Holland, Zendaya"
tt0080678,156,The Elephant Man,(1980),"8.1 based on 247,259 user ratings","David Lynch (dir.), Anthony Hopkins, John Hurt"
tt0071315,157,Chinatown,(1974),"8.1 based on 333,964 user ratings","Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
tt0081398,158,Raging Bull,(1980),"8.1 based on 362,258 user ratings","Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
tt0434409,159,V for Vendetta,(2005),"8.1 based on 1,138,886 user ratings","James McTeigue (dir.), Hugo Weaving, Natalie Portman"
tt0031381,160,Gone with the Wind,(1939),"8.1 based on 321,865 user ratings","Victor Fleming (dir.), Clark Gable, Vivien Leigh"
tt0046912,161,Dial M for Murder,(1954),"8.1 based on 180,188 user ratings","Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
tt0120735,162,"Lock, Stock and Two Smoking Barrels",(1998),"8.1 based on 593,961 user ratings","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
tt2096673,163,Inside Out,(2015),"8.1 based on 733,901 user ratings","Pete Docter (dir.), Amy Poehler, Bill Hader"
tt0347149,164,Howl's Moving Castle,(2004),"8.1 based on 410,156 user ratings","Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
tt1305806,165,The Secret in Their Eyes,(2009),"8.1 based on 213,701 user ratings","Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
tt5027774,166,"Three Billboards Outside Ebbing, Missouri",(2017),"8.1 based on 524,571 user ratings","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
tt0117951,167,Trainspotting,(1996),"8.1 based on 699,821 user ratings","Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
tt0050212,168,The Bridge on the River Kwai,(1957),"8.1 based on 225,237 user ratings","David Lean (dir.), William Holden, Alec Guinness"
tt1392214,169,Prisoners,(2013),"8.1 based on 742,701 user ratings","Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
tt0116282,170,Fargo,(1996),"8.1 based on 691,286 user ratings","Joel Coen (dir.), William H. Macy, Frances McDormand"
tt1291584,171,Warrior,(2011),"8.1 based on 481,021 user ratings","Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
tt1205489,172,Gran Torino,(2008),"8.1 based on 788,188 user ratings","Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
tt0264464,173,Catch Me If You Can,(2002),"8.1 based on 1,017,362 user ratings","Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
tt0096283,174,My Neighbor Totoro,(1988),"8.1 based on 351,331 user ratings","Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
tt0405159,175,Million Dollar Baby,(2004),"8.1 based on 698,855 user ratings","Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
tt0118849,176,Children of Heaven,(1997),"8.1 based on 76,532 user ratings","Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
tt0083658,177,Blade Runner,(1982),"8.1 based on 786,083 user ratings","Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
tt0015864,178,The Gold Rush,(1925),"8.1 based on 113,663 user ratings","Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
tt4729430,179,Klaus,(2019),"8.1 based on 165,457 user ratings","Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
tt1201607,180,Harry Potter and the Deathly Hallows: Part 2,(2011),"8.1 based on 898,134 user ratings","David Yates (dir.), Daniel Radcliffe, Emma Watson"
tt0112471,181,Before Sunrise,(1995),"8.1 based on 319,350 user ratings","Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
tt2024544,182,12 Years a Slave,(2013),"8.1 based on 714,444 user ratings","Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
tt0052618,183,Ben-Hur,(1959),"8.1 based on 244,741 user ratings","William Wyler (dir.), Charlton Heston, Jack Hawkins"
